transaction_id,amount,card_last4,timestamp
1,-50,1234,2025-01-01
2,101,1234,2025-01-01
3,102,1234,2025-01-01
4,103,1234,2025-01-01
5,104,1234,2025-01-01
6,105,1234,2025-01-01
7,106,1234,2025-01-01
8,107,1234,2025-01-01
9,108,1234,2025-01-01
10,109,1234,2025-01-01
11,110,1234,2025-01-01
12,111,1234,2025-01-01
13,112,1234,2025-01-01
14,113,1234,2025-01-01
15,114,1234,2025-01-01
16,115,1234,2025-01-01
17,116,1234,2025-01-01
18,117,1234,2025-01-01
19,118,1234,2025-01-01
20,119,1234,2025-01-01
21,-50,1234,2025-01-01
22,121,1234,2025-01-01
23,122,1234,2025-01-01
24,123,1234,2025-01-01
25,124,1234,2025-01-01
26,125,1234,2025-01-01
27,126,1234,2025-01-01
28,127,1234,2025-01-01
29,128,1234,2025-01-01
30,129,1234,2025-01-01
31,130,1234,2025-01-01
32,131,1234,2025-01-01
33,132,1234,2025-01-01
34,133,1234,2025-01-01
35,134,1234,2025-01-01
36,135,1234,2025-01-01
37,136,1234,2025-01-01
38,137,1234,2025-01-01
39,138,1234,2025-01-01
40,139,1234,2025-01-01
41,-50,1234,2025-01-01
42,141,1234,2025-01-01
43,142,1234,2025-01-01
44,143,1234,2025-01-01
45,144,1234,2025-01-01
46,145,1234,2025-01-01
47,146,1234,2025-01-01
48,147,1234,2025-01-01
49,148,1234,2025-01-01
50,149,1234,2025-01-01
51,150,1234,2025-01-01
52,151,1234,2025-01-01
53,152,1234,2025-01-01
54,153,1234,2025-01-01
55,154,1234,2025-01-01
56,155,1234,2025-01-01
57,156,1234,2025-01-01
58,157,1234,2025-01-01
59,158,1234,2025-01-01
60,159,1234,2025-01-01
61,-50,1234,2025-01-01
62,161,1234,2025-01-01
63,162,1234,2025-01-01
64,163,1234,2025-01-01
65,164,1234,2025-01-01
66,165,1234,2025-01-01
67,166,1234,2025-01-01
68,167,1234,2025-01-01
69,168,1234,2025-01-01
70,169,1234,2025-01-01
71,170,1234,2025-01-01
72,171,1234,2025-01-01
73,172,1234,2025-01-01
74,173,1234,2025-01-01
75,174,1234,2025-01-01
76,175,1234,2025-01-01
77,176,1234,2025-01-01
78,177,1234,2025-01-01
79,178,1234,2025-01-01
80,179,1234,2025-01-01
81,-50,1234,2025-01-01
82,181,1234,2025-01-01
83,182,1234,2025-01-01
84,183,1234,2025-01-01
85,184,1234,2025-01-01
86,185,1234,2025-01-01
87,186,1234,2025-01-01
88,187,1234,2025-01-01
89,188,1234,2025-01-01
90,189,1234,2025-01-01
91,190,1234,2025-01-01
92,191,1234,2025-01-01
93,192,1234,2025-01-01
94,193,1234,2025-01-01
95,194,1234,2025-01-01
96,195,1234,2025-01-01
97,196,1234,2025-01-01
98,197,1234,2025-01-01
99,198,1234,2025-01-01
100,199,1234,2025-01-01
